id,manifest,
1,https://www.dl.ndl.go.jp/api/iiif/2586692/manifest.json,2586692
2,https://www.dl.ndl.go.jp/api/iiif/2586693/manifest.json,2586693
3,https://www.dl.ndl.go.jp/api/iiif/2586694/manifest.json,2586694
4,https://www.dl.ndl.go.jp/api/iiif/2586695/manifest.json,2586695
5,https://www.dl.ndl.go.jp/api/iiif/2586696/manifest.json,2586696
6,https://www.dl.ndl.go.jp/api/iiif/2586697/manifest.json,2586697
7,https://www.dl.ndl.go.jp/api/iiif/2586698/manifest.json,2586698
8,https://www.dl.ndl.go.jp/api/iiif/2586699/manifest.json,2586699
9,https://www.dl.ndl.go.jp/api/iiif/2586700/manifest.json,2586700
10,https://www.dl.ndl.go.jp/api/iiif/2586701/manifest.json,2586701
11,https://www.dl.ndl.go.jp/api/iiif/2586702/manifest.json,2586702
12,https://www.dl.ndl.go.jp/api/iiif/2586703/manifest.json,2586703
13,https://www.dl.ndl.go.jp/api/iiif/2586704/manifest.json,2586704
